disease_id	cmpds_per_disease	top10	top25	top50	top100	topAll	top1%	top5%	top10%	top50%	top100%	disease_name
MESH:D006973	288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypertension
MESH:D012640	268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Seizures
MESH:D010146	261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pain
MESH:D007249	171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Inflammation
MESH:D056486	170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Chemical and Drug Induced Liver Injury
MESH:D001943	158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Neoplasms
MESH:D006930	148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperalgesia
MESH:D007674	145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Diseases
MESH:D009336	142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Necrosis
MESH:D004487	137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Edema
MESH:D003866	131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Depressive Disorder
MESH:D006948	129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperkinesis
MESH:D013375	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Substance Withdrawal Syndrome
MESH:D002375	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Catalepsy
MESH:D011471	122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Prostatic Neoplasms
MESH:D007022	122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypotension
MESH:D019970	118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cocaine-Related Disorders
MESH:D009369	118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neoplasms
MESH:D009203	111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Myocardial Infarction
MESH:D006333	108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Heart Failure
MESH:D009374	105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neoplasms, Experimental
MESH:D001145	101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Arrhythmias, Cardiac
MESH:D013610	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tachycardia
MESH:D004409	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dyskinesia, Drug-Induced
MESH:D064420	96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Drug-Related Side Effects and Adverse Reactions
MESH:D058186	96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Kidney Injury
MESH:D011507	95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Proteinuria
MESH:D008569	93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memory Disorders
MESH:D009362	87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neoplasm Metastasis
MESH:D008545	85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma
MESH:D008175	85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lung Neoplasms
MESH:D003072	83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cognition Disorders
MESH:D006332	82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cardiomegaly
MESH:D001008	82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Anxiety Disorders
MESH:D015431	81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Weight Loss
MESH:D010149	81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pain, Postoperative
MESH:D001919	81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bradycardia
MESH:D012559	80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Schizophrenia
MESH:D018487	78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ventricular Dysfunction, Left
MESH:D006943	78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperglycemia
MESH:D009410	76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Nerve Degeneration
MESH:D003110	76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colonic Neoplasms
MESH:D014202	75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tremor
MESH:D001714	75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bipolar Disorder
